java架构师 (MJ000112),本科及以上,20-35k·13薪,广州市迈创智能科技有限公司,5-10年,广州-海珠区
高级JAVA开发工程师,本科及以上,19-23k·12薪,伯渡,5-10年,广州-天河区
资深Java架构师 (MJ000063),本科及以上,25-50k·13薪,广州市迈创智能科技有限公司,5-10年,广州-海珠区
高级JAVA开发工程师,统招本科,20-35k·13薪,广州市蓝海鲨科技有限公司,5-10年,广州-天河区
高级java开发工程师,大专及以上,18-22k·12薪,伯渡,5-10年,广州-天河区
Java开发工程师,大专及以上,15-20k·12薪,广州细刻网络科技有限公司,3-5年,广州
中级/高级Java开发工程师（中台）,大专及以上,15-25k·12薪,伯渡,3-5年,广州
Java-珠海项目,统招本科,9-14k·12薪,国内知名IT公司,3-5年,广州-天河区
java架构师 (MJ000112),本科及以上,20-35k·13薪,广州市迈创智能科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
高级JAVA开发工程师,本科及以上,19-23k·12薪,伯渡,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
资深Java架构师 (MJ000063),本科及以上,25-50k·13薪,广州市迈创智能科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
高级JAVA开发工程师,统招本科,20-35k·13薪,广州市蓝海鲨科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
高级java开发工程师,大专及以上,18-22k·12薪,伯渡,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
Java开发工程师,大专及以上,15-20k·12薪,广州细刻网络科技有限公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
