零售运营总监,六町目服饰连锁,广州-番禺区,2.5-3万/月,07-25
天猫运营总监,广州米橙科技有限公司,广州-南沙区,2.5-3万/月,07-25
运营总监助理 社保+奖金+包吃+地铁附近 晋升空间大,广州天成经贸有限公司,广州-白云区,4-8千/月,07-25
新媒体运营总监,广州睿姿生物科技有限公司,广州-天河区,0.8-2万/月,07-25
市场运营总监,广州亿联百汇科技有限公司,广州-白云区,1-1.5万/月,07-25
运营总监,润农（广州）生态农业科技有限公司...,广州,1-2万/月,07-25
直播运营总监,广州市班西贸易有限公司,广州-白云区,1.5-2.5万/月,07-25
运营总监执行助理,合一创新投资（广州）有限公司,广州-天河区,0.5-1万/月,07-25
运营总监助理（sp007）,广州恋上文化传播有限公司,广州-天河区,7-8千/月,07-25
电商运营总监,广东海薇日用品连锁有限公司,广州-白云区,1.5-2万/月,07-25
电商运营总监,广州沛尚首饰有限公司,广州,1.5-3万/月,07-25
电商运营总监,佛山市正点科技信息有限公司,广州-海珠区,2.5-3万/月,07-25
线上教育运营总监,广东优普道信息科技有限公司,广州-番禺区,1.5-3万/月,07-25
运营总监,广州市芊贝雪服饰有限公司,广州-海珠区,1-2.5万/月,07-25
电商运营总监（高薪+五险一金）,广州榴冠王贸易有限公司,广州-番禺区,30-40万/年,07-25
市场运营总监,广东筑宾健康产业有限公司,广州-越秀区,1-1.5万/月,07-25
电商运营总监,广东博纳控股有限公司,广州-天河区,1-1.5万/月,07-25
运营总监（医疗互联网）,广州默尼医疗技术有限公司,广州,2.5-5万/月,07-25
电商运营总监,广州市蒲金精细化工有限公司,广州-白云区,1-1.5万/月,07-25
新媒体运营总监（金融咨询项目）,璞菲森咨询（广州）有限公司,广州-越秀区,1.5-2万/月,07-25
产品运营总监,广州爆裂科技有限公司,广州-海珠区,1.5-2.5万/月,07-25
电商运营总监（股权期权）,广州乐芙信息科技有限公司,广州-天河区,3-5万/月,07-25
电商运营总监/副总监,DoctorLi李医生电商事业部,广州-天河区,1.5-3.5万/月,07-25
电商运营总监,广州源点电子商务有限公司,广州-白云区,1.5-2万/月,07-25
运营总监,兆辉信息科技（广州）有限责任公司...,异地招聘,4-5万/月,07-25
美团运营总监,尹氏天�\集团有限公司,广州-越秀区,1-1.5万/月,07-25
电商运营总监,广州清碧化妆品有限公司,广州,0.6-1.5万/月,07-25
